Language,Token Count
et,418860
kab,536550
ss,376012
ro,1621489
hi,3668091
am,5252337
nhg,558445
sr,1281715
ceb,1794315
dje,1658191
af,1346804
ch,298212
sl,1479558
id,1388762
te,6504094
fr,1307467
mi,1766339
agr,508956
zu,353594
plt,1843215
mr,4214090
jiv,467247
ppk,549916
xh,1578984
.DS_S,12477
tl,1717016
chr,1506623
cop,1936146
syr,1031714
usp,690122
da,1250692
eo,1440465
gv,199598
is,1716707
ojb,1949660
eu,371707
dop,889365
amu,982086
cs,1653132
nl,1267902
sn,1553811
sq,1728073
he,2054246
pl,1496361
crp,1728196
kn,6843491
ne,4559783
zh,4387037
mam,756578
so,1952934
ee,612204
pt,1229591
th,8156355
lt,1538396
djk,519824
acu,567132
ml,6918377
gd,33333
el,3502066
tr,1455688
cjp,570036
shi,511350
lv,397560
la,1066698
sk,1633117
ake,733250
quw,377903
es,1188688
pes,2379916
vi,4115578
hr,1346773
cni,538909
gbi,621350
fi,1578874
ko,1831145
wal,426382
bg,1993451
jak,673050
pck,1568006
no,1251400
kek,2459908
ru,1705619
hu,1672922
uk,453277
it,1221038
bsn,988431
wo,373079
gu,1728189
tmh,185693
kbh,815112
jap,4889498
quc,655900
chq,1641156
ar,1701897
cak,830318
de,1194121
hy,1274419
rom,362303
sv,1421720
dik,465561
en,1971543
my,8053246
pot,130795
